Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789048219,200,,Aggregated,563.400000,0.000000,200,220,240,250,280,320,370,440,1000,1400,1400,15991,0,200,206.58615317985715,6.3782999641261995,1396.8007999937981,259.4241135638797
1789048220,200,,Aggregated,576.000000,0.000000,200,230,240,250,280,320,370,440,990,1400,1400,16567,0,200,207.05418084138037,6.3782999641261995,1396.8007999937981,259.4399106657814
1789048221,200,,Aggregated,581.600000,0.000000,200,230,240,250,280,320,360,420,990,1400,1400,17207,0,200,207.11760415520433,6.3782999641261995,1396.8007999937981,259.2457139536235
1789048222,200,,Aggregated,580.100000,0.000000,200,220,240,250,280,310,360,410,990,1400,1400,17911,0,200,206.35528480260234,6.3782999641261995,1396.8007999937981,259.09335045502763
1789048223,200,,Aggregated,585.000000,0.000000,200,220,240,250,280,310,360,400,990,1400,1400,18487,0,200,207.23750700486568,6.3782999641261995,1396.8007999937981,259.3250933088116
1789048224,200,,Aggregated,590.300000,0.000000,200,220,240,250,280,310,360,400,980,1400,1400,19127,0,200,207.19428752539037,6.3782999641261995,1396.8007999937981,259.35834161133477
1789048226,200,,Aggregated,582.500000,0.000000,200,220,240,250,280,310,360,400,980,1400,1400,19767,0,200,207.34122901796647,6.3782999641261995,1396.8007999937981,259.35791976526536
1789048227,200,,Aggregated,582.400000,0.000000,200,220,240,250,280,310,360,400,970,1400,1400,20343,0,200,207.58016160344005,6.3782999641261995,1396.8007999937981,259.2852086712874
1789048228,200,,Aggregated,588.800000,0.000000,200,230,240,250,280,310,360,390,970,1400,1400,20919,0,200,207.87384555659096,6.3782999641261995,1396.8007999937981,259.5770830345619
1789048229,200,,Aggregated,575.800000,0.000000,200,220,240,250,280,310,360,390,970,1400,1400,21687,0,200,206.19833792586564,6.3782999641261995,1396.8007999937981,259.3492875916448
1789048230,200,,Aggregated,556.800000,0.000000,200,220,240,250,280,310,360,390,960,1400,1400,22327,0,200,206.3187730773638,6.3782999641261995,1396.8007999937981,259.52308863707617
1789048231,200,,Aggregated,566.600000,0.000000,200,230,240,250,280,310,360,390,960,1400,1400,22842,0,200,207.1487092810742,6.3782999641261995,1396.8007999937981,259.6424130986779
1789048232,200,,Aggregated,576.000000,0.000000,200,230,240,250,290,320,360,410,960,1400,1400,23285,0,200,208.81817833360284,6.3782999641261995,1396.8007999937981,259.8160618423878
1789048233,200,,Aggregated,569.900000,0.000000,200,230,240,260,290,320,370,410,960,1400,1400,23866,0,200,208.95433958344088,6.3782999641261995,1396.8007999937981,259.9306963881673
1789048234,200,,Aggregated,555.200000,0.000000,200,230,240,260,290,320,370,410,960,1400,1400,24507,0,200,209.3723182845278,6.3782999641261995,1396.8007999937981,260.117068592647
1789048236,200,,Aggregated,537.500000,0.000000,200,230,240,260,290,320,360,410,960,1400,1400,25146,0,200,209.28806659108463,6.3782999641261995,1396.8007999937981,260.0876481348922
1789048237,200,,Aggregated,538.000000,0.000000,200,230,240,260,290,320,360,410,960,1400,1400,25719,0,200,209.42385452388623,6.3782999641261995,1396.8007999937981,260.0623274621875
1789048238,200,,Aggregated,537.600000,0.000000,200,230,240,260,290,320,360,410,960,1400,1400,26359,0,200,209.1234406806303,6.3782999641261995,1396.8007999937981,260.2374521036458
1789048239,200,,Aggregated,542.500000,0.000000,200,230,240,250,290,320,360,400,950,1400,1400,27066,0,200,208.40006627137694,6.3782999641261995,1396.8007999937981,260.37940589669694
1789048240,200,,Aggregated,545.900000,0.000000,200,230,240,250,290,320,360,400,950,1400,1400,27639,0,200,208.65647040052605,6.3782999641261995,1396.8007999937981,260.47917797315387
1789048241,200,,Aggregated,540.600000,0.000000,200,230,240,250,290,310,360,400,950,1400,1400,28341,0,200,208.42136862491617,6.3782999641261995,1396.8007999937981,260.53022123425427
1789048242,200,,Aggregated,531.500000,0.000000,200,230,240,260,290,310,360,400,950,1400,1400,28981,0,200,208.6590896966705,6.3782999641261995,1396.8007999937981,260.31782892239744
1789048243,200,,Aggregated,540.300000,0.000000,200,230,240,260,290,320,360,410,950,1400,1400,29493,0,200,209.51657574675724,6.3782999641261995,1396.8007999937981,260.29206930458076
1789048245,200,,Aggregated,551.100000,0.000000,200,230,240,260,290,320,360,410,950,1400,1400,30133,0,200,209.51240385951078,6.3782999641261995,1396.8007999937981,260.16198188033053
1789048246,200,,Aggregated,560.000000,0.000000,200,230,240,260,290,310,360,400,950,1400,1400,30773,0,200,209.4139939426995,6.3782999641261995,1396.8007999937981,260.2519091411302
1789048247,200,,Aggregated,559.500000,0.000000,200,230,240,260,290,310,360,400,950,1400,1400,31484,0,200,208.86762605447265,6.3782999641261995,1396.8007999937981,259.9899313937238
1789048248,200,,Aggregated,558.300000,0.000000,200,230,240,250,290,310,360,400,950,1400,1400,32253,0,200,207.9300411465558,6.3782999641261995,1396.8007999937981,259.9789476947881
